"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","source","id","type"
"Do financial constraints threat the innovation process? Evidence from Portuguese firms","Filipe Silva; Carlos Carreira","2012","Economics of Innovation and New Technology","101","True","http://hdl.handle.net/10316/104772","https://doi.org/10.1080/10438599.2011.639979","This paper broadly addresses the financing problems of the innovation process, by analysing the extent to which financial constraints hinder firms’ investment in R&amp;D and innovation, as well as investigating the role of public financial support in alleviating such constraints. In order to overcome the problems associated with measuring financial constraints, we make use of both indirect and direct measures of constraints. Our findings suggest that while financial constraints have a perverse effect upon R&amp;D investment and innovation, there is no evidence that subsidies mitigate such constraints. Accordingly, we raise a number of questions regarding the efficiency and effectiveness of subsidies in alleviating firms’ financial constraints.","cites: ACW2004_JF","https://openalex.org/W1969461069","article"
"Political connection, CEO gender, and firm performance","Rui Sun; Ganna Zou","2021","Journal of Corporate Finance","101","False","","https://doi.org/10.1016/j.jcorpfin.2021.101918","","cites: ACW2004_JF","https://openalex.org/W3133727908","article"
"Financial flexibility: Do firms prepare for recession?","James S. Ang; Adam R. Smedema","2011","Journal of Corporate Finance","100","False","","https://doi.org/10.1016/j.jcorpfin.2011.02.001","","cites: ACW2004_JF","https://openalex.org/W1986046034","article"
"Why Does the Law Matter? Investor Protection and Its Effects on Investment, Finance, and Growth","R. David McLean; Tianyu Zhang; Mengxin Zhao","2012","The Journal of Finance","100","False","","https://doi.org/10.1111/j.1540-6261.2011.01713.x","ABSTRACT Investor protection is associated with greater investment sensitivity to q and lower investment sensitivity to cash flow. Finance plays a role in causing these effects; in countries with strong investor protection, external finance increases more strongly with q , and declines more strongly with cash flow. We further find that q and cash flow sensitivities are associated with ex post investment efficiency; investment predicts growth and profits more strongly in countries with greater q sensitivities and lower cash flow sensitivities. The paper's findings are broadly consistent with investor protection promoting accurate share prices, reducing financial constraints, and encouraging efficient investment.","cites: ACW2004_JF","https://openalex.org/W2104908005","article"
"Corporate pyramids, geographical distance, and investment efficiency of Chinese state-owned enterprises","Wei Opie; Gary Gang Tian; Hong Feng Zhang","2018","Journal of Banking & Finance","99","True","https://figshare.com/articles/journal_contribution/Corporate_pyramids_geographical_distance_and_investment_efficiency_of_Chinese_state-owned_enterprises/20781685","https://doi.org/10.1016/j.jbankfin.2018.12.001","","cites: ACW2004_JF","https://openalex.org/W2902079701","article"
"Financing R&amp;D in Chinese private firms: Business associations or political connection?","Dongyang Zhang; Yumei Guo","2019","Economic Modelling","99","False","","https://doi.org/10.1016/j.econmod.2018.12.010","","cites: ACW2004_JF","https://openalex.org/W2908827214","article"
"Peer effects on corporate cash holdings","Yi‐Wen Chen; Konan Chan; Yuanchen Chang","2019","International Review of Economics & Finance","99","False","","https://doi.org/10.1016/j.iref.2019.02.008","","cites: ACW2004_JF","https://openalex.org/W2917417387","article"
"Corporate financial asset holdings under economic policy uncertainty: Precautionary saving or speculating?","Jialin Huang; Yu Luo; Yuchao Peng","2019","International Review of Economics & Finance","98","False","","https://doi.org/10.1016/j.iref.2019.11.018","","cites: ACW2004_JF","https://openalex.org/W2990602698","article"
"Tax Policy and Heterogeneous Investment Behavior","Eric Zwick; James Mahon","2016","National Bureau of Economic Research","98","True","https://doi.org/10.3386/w21876","https://doi.org/10.3386/w21876","We estimate the effect of temporary tax incentives on equipment investment using shifts in accelerated depreciation. Analyzing data for over 120,000 firms, we present three findings. First, bonus depreciation raised investment in eligible capital relative to ineligible capital by 10.4% between 2001 and 2004 and 16.9% between 2008 and 2010. Second, small firms respond 95% more than big firms. Third, firms respond strongly when the policy generates immediate cash flows but not when cash flows only come in the future. This heterogeneity materially affects aggregate estimates and supports models in which financial frictions or fixed costs amplify investment responses.","cites: ACW2004_JF","https://openalex.org/W3124003022","report"
"CEO political preference and credit ratings","Avishek Bhandari; Joanna Golden","2021","Journal of Corporate Finance","97","False","","https://doi.org/10.1016/j.jcorpfin.2021.101909","","cites: ACW2004_JF","https://openalex.org/W3131662706","article"
