suite_id,iv,tail_dir,model_family,contemp_total,contemp_p10,contemp_p05,contemp_p01,lead_total,lead_p10,lead_p05,lead_p01,beta_min,beta_max,beta_abs_max,se_med,n_min,n_max,dir
H7d,UncAnsMgr,positive,PanelOLS,6,1,0,0,6,0,0,0,-0.0005730918888227257,0.0010943717316157855,0.0010943717316157855,0.0007604698214757142,60036,63537,h7d_amihud_bgt_delta
H7d,UncPreMgr,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0016998018722656418,0.00031208015147764966,0.0016998018722656418,0.0005814352782512346,60036,63537,h7d_amihud_bgt_delta
H7d.r,UncAnsCEO,positive,PanelOLS,6,3,1,0,6,0,0,0,-0.00024001295429749823,0.0006010747508430807,0.0006010747508430807,0.00039257933441843267,56602,59692,h7d_amihud_bgt_delta_robustness
H7d.r,UncAnsNoCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0005540675900783849,0.00026823565946965247,0.0005540675900783849,0.00026959207906969776,56602,59692,h7d_amihud_bgt_delta_robustness
H7d.r,UncPreCEO,positive,PanelOLS,6,0,0,0,6,4,3,1,-0.0006237974482587504,0.0006416333325127091,0.0006416333325127091,0.00034340516827233793,56602,59692,h7d_amihud_bgt_delta_robustness
H7d.r,UncPreNoCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0006977358334864196,0.0003280811684665562,0.0006977358334864196,0.00030564176898911023,56602,59692,h7d_amihud_bgt_delta_robustness
H7e,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,3.7394378355496815e-06,0.001011143508176805,0.001011143508176805,0.0012974437787436506,60256,63816,h7e_amihud_bgt_avg
H7e,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0017962802948626728,-0.00020187271840586162,0.0017962802948626728,0.0012655285821373803,60256,63816,h7e_amihud_bgt_avg
H7e,UncAnsMgr,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0039578498394287264,0.001398583994879662,0.0039578498394287264,0.0016234703719032282,60256,63816,h7e_amihud_bgt_avg
H7e,UncPreMgr,positive,PanelOLS,6,1,1,0,6,1,0,0,-0.00033457241374686093,0.0019578716919677144,0.0019578716919677144,0.0014924235841610209,60256,63816,h7e_amihud_bgt_avg
H7e.r,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0014821711814512828,0.0005818364734864331,0.0014821711814512828,0.0008133936858816722,56803,59943,h7e_amihud_bgt_avg_robustness
H7e.r,UncAnsNoCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0008238818283330047,0.00047520675010141695,0.0008238818283330047,0.0005401389392469068,56803,59943,h7e_amihud_bgt_avg_robustness
H7e.r,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0016147546972478692,-0.0002956933912169804,0.0016147546972478692,0.0009949716319645754,56803,59943,h7e_amihud_bgt_avg_robustness
H7e.r,UncPreNoCEO,positive,PanelOLS,6,0,0,0,6,2,1,0,-0.0009136345052863001,0.0009025844618251058,0.0009136345052863001,0.000658360161891666,56803,59943,h7e_amihud_bgt_avg_robustness
